PopularWords,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bosnian,Bulgarian,Catalan,Cebuano,Chichewa,Chinese Simplified,Chinese Traditional,Corsican,Croatian,Czech,Danish,Dutch,Esperanto,Estonian,Filipino,Finnish,French,Frisian,Galician,Georgian,German,Greek,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Igbo,Indonesian,Irish,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Korean,Kurdish (Kurmanji),Kyrgyz,Lao,Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Odia,Pashto,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Samoan,Scots Gaelic,Serbian,Sesotho,Shona,Sindhi,Sinhala,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Tatar,Telugu,Thai,Turkish,Turkmen,Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
moon,maan,hânâ,???,?????,??????,ay,ilargia,?????,????,mjesec,????,lluna,bulan,mwezi,??,??,luna,mjesec,m?s°c,mÜne,maan,luno,Kuu,buwan,kuu,lune,moanne,l£a,??????,Mond,ÌÓ?????,?????,lalin,wat?,mahina,???,????,hli,hold,Tungl,?nwa,bulan,moon,Luna,?,rembulan,??????,??,??????????,ukwezi,?,hàv,??,?????,luna,m?ness,m?nulis,Mound,??????????,volana,bulan,???????,qamar,marama,?????,???,?,??????,mÜne,??????,??????,???,ksi??yc,lua,???,lun?,????,masina,ghealach,?????,khoeli,mwedzi,???,??,mesiac,luna,moon,Luna,bulan,mwezi,mÜne,???,????????,??,????????,?????????,ay,A?,??????,????,???,oy,m?t tr?ng,lleuad,inyanga,????????,o?upa,inyanga
mother,moeder,nânâ,???,??,????,ana,ama,????,??,majka,?????,mare,inahan,amayi,??,??,mamma,majka,matka,mor,moeder,patrino,ema,ina,Ñiti,märe,mem,nai,????,Mutter,??Á??‡,????,manman,uwar,makuahine,?????,???,niam,anya,M¢?ir,nne,ibu,M†thair,madre,?,ibu,????,???,?????,nyina,???,dà,???,???,mater,m?te,motina,Mamm,?????,reny,ibu,????,omm,whaea,??,???,?????,???,mor,??,???,????,mama,m?e,???,mam?,????,tina,mÖthair,?????,'mä,Amai,???,??,matka,mati,hooyo,madre,indung,mama,mor,?????,????,???,?????,???,anne,ejesi,????,???,????,Ona,m?,mam,umama,?????,iya,unina
my love,my liefde,Dashuria ime,???,??????,?? ???,my love,nire bihotza,??? ???????,???? ???????,moja ljubav,??? ?????,amor meu,ang akong gugma,wachikondi wanga,???,???,amore meiu,moja ljubav,moje l†ska,min elskede,mijn geliefde,mia amo,minu armastus,mahal ko,rakkaani,mon amour,myn leafde,meu amor,???? ????????,meine Geliebte,‡??„? ???,???? ?????,renmen m ',masoyina,ku?u aloha,?????,???? ?????,kuv hlub,szerelmem,?stin m°n,?h?nanya m,cintaku,Mo gr†,il mio amore,???,tresnaku,???? ????,????? ??????????,??????,urukundo rwanjye,? ??,Evåna min,????? ?????????,???????,amica mea,mana m?lest?ba,Mano meil?,meng LÇift,????? ????,ry tiako,cinta saya,????? ??????,im?abba tieg?i,toku aroha,???? ?????,????? ????,????????,???? ?????,min kjërlighet,?? ?????,??? ????,??? ??,moja mi?o??,meu amor,???? ????,Iubirea mea,??? ??????,o lo?u alofa,mo ghaol,???? ?????,lerato la ka,mudiwa wangu,?????? ????,??? ????,moja l†ska,moja ljubezen,jacaylkayga,mi amor,kabogoh abdi,mpenzi wangu,min kÑrlek,????? ???,??? ?????,????,?? ????????,??????,a?k?m,meni? sî?gim,??? ?????,???? ????,????? ??????????,mening muhabbatim,tçnh yàu c?a tìi,fy nghariad,sthandwa,???? ???,if? mi,Sthandwa sami
peace,vrede,paqe,???,????,????????????,sÅlh,bakea,????,??????,mir,???,pau,kalinaw,mtendere,??,??,pace,mir,m°r,fred,vrede,paco,rahu,kapayapaan,rauha,paix,frede,paz,????????,Frieden,Ó?????,?????,lapä,zaman lafiya,maluhia,???????,?????,kev sib haum xeeb,bÇke,Fri?ur,udo,perdamaian,s°och†in,pace,??,tentrem,?????,???????????,????????,amahoro,??,a?åtå,???????,????????,pacem,miers,taika,Fridden,???,fandriampahalemana,keamanan,???????,pa?i,te rongo,??????,???? ???????,??????????????,??????,fred,??????,????,???,pok¢j,Paz,??????,pace,???,filemu,sçth,???,khotso,rugare,???,???,mier,mir,nabadda,paz,katengtreman,amani,fred,????,????????,????????,?????,???????,Bar??,parahatáylyk,???,???,???????,tinchlik,Hïa bçnh,heddwch,uxolo,????,alafia,ukuthula
red,rooi,i kuq,??,????,??????,q?rm?z?,gorria,???????,???,crven,??????,vermell,pula nga,wofiira,?,?,rossu,crvena,?ervenÇ,r?d,rood,ru?a,punane,pula,punainen,rouge,read,vermello,red,rot,Á? ???????,???,wouj,ja,ula?ula,??????,???,liab,piros,Rautt,red,merah,dearg,rosso,?,abang,?????,?????,?????,umutuku,??,sor,?????,?????,red,sarkans,raudonas,Rout,??????,mena,merah,??????,a?mar,whero,???,?????,?????,????,r?d,????,???,????,czerwony,vermelho,???,ro?u,???????,lanu mumu,dearg,?????,khubelu,tsvuku,?????,???,?erven†,rde?a,cas,rojo,beureum,nyekundu,rîd,????,???????,?????,?????,?????,k?rm?z?,gyzyl,????????,???,?????,qizil,??,Coch,bomvu,????,pupa,obomvu
sorry,jammer,Mâ vjen keq,?????,?????,??????,Åzr,Sentitzen,????????,??????,izvini,?????????,ho sento,sorry,pepani,??,??,scusa,oprostite,Promi?te,undskyld,Sorry,beda?ras,Vabandust,nalulungkot,anteeksi,Pardon,Sorry,Sent°molo,??????,Es tut uns leid,Â??????,???,regrät,hakuri,e kala mai,?????,???? ??????,thov txim,sajn†lom,Fyrirgef?u,ndo,Maaf,t† br¢n orainn,scusa,??????,nuwun,???????,?????????,??????,mumbabarire,?????,bibore,?????????,??????,paenitet,Atvainojiet,atsipra?au,entschâllegt,???,miala tsiny,maaf,??????????,sorry,pouri,??: ?,?????????,??????????????,??? ?????????,Beklager,?? sorry ???,?????,?????,Przepraszam,desculpa,??? ????,scuze,??????,malie,duilich,????????? ??,masoabi,ndine hurombo,?????,???????,Prep†?,?al mi je,ka xumahay,lo siento,punten,pole,fîrlÜt,???,????????????,???? ??????,??????????,?????,afedersiniz,Bagy?la?,???????,?????,???????,Kechirasiz,l?y lÖm ti?c,Mae'n ddrwg,uxolo,????????,binu,sorry
star,ster,yll,???,????,????,ulduz,izar,?????,?????,zvijezda,??????,estrella,nga bitoon,nyenyezi,?,?,stella,zvijezda,hv?zda,stjerne,ster,stelo,tÑht,bituin,tÑhti,Çtoile,stjer,estrela,??????????,Stern,‡ÂÁ???,????,zetwal,star,h?k?,????,????,lub hnub qub,csillag,Stjîrnu,kpakpando,bintang,rÇalta,stella,?,lintang,??????,??????,????,inyenyeri,?,stàrk,??????,???,stella,zvaigzne,?vaig?d?,StÑr,??????,kintana,bintang,????????,stilla,whetu,????,??,????,????,stjerne,????,?????,?????,gwiazda,Estrela,????,stea,??????,fetu,rionnag,??????,naleli,nyeredzi,????,???,hviezda,zvezda,xiddiga,estrella,bentang,nyota,stjÑrna,??????,?????????,??????,??????,???,y?ld?z,?yldyz,?????,?????,star,yulduz,ngìi sao,seren,inkwenkwezi,?????,star,inkanyezi
sun,son,diell,???,???,????,gÅn??,eguzkia,?????,?????,sunce,??????,sol,adlaw,dzuwa,??,??,sole,sunce,slunce,sol,zon,sunon,pÑike,araw,aurinko,Soleil,sinne,sol,???,Sonne,?????,?????,soläy,r?n?,l?,???,???,hnub,nap,S¢l,anyanw?,matahari,ghrian,sole,??,sun,??????,???,???????????,izuba,??,tav,???,????????,solis,saule,saul?,Sonn,???????,masoandro,matahari,??????,xemx,ra,?????,???,??,?????,sol,???????,???,?????,s?o?ce,dom,????,soare,??????,la,ghrian,?????,letsatsi,zuva,??,????,slnko,sonce,qorraxdu,sol,panonpoÇ,jua,Sol,?????,???????,????,????????,??????????,GÅne?,gÅn,?????,????,?????,quyosh,m?t tr?i,haul,ilanga,???,oorun,ilanga
water,water,ujâ,??,???,????,su,ur,????,????,voda,????,aigua,sa tubig,madzi,?,?,acqua,voda,voda,vand,water,akvo,vesi,tubig,vesi,eau,wetter,auga,?????,Wasser,?Ó??,????,dlo,ruwa,wai,?????,????,dej,v°z,Vatn,mmiri,air,uisce,acqua,?,banyu,?????,??,???,amazi,?,av,???,????,aqua,?dens,vanduo,Waasser,????,rano,air,??????,ilma,wai,????,??,??,????,vann,??,????,??,woda,agua,????,ap?,????,vai,uisge,????,metsi,mvura,????,???,voda,voda,biyaha,agua,cai,maji,vatten,??,????,??,????,???,Su,suw,????,????,water,suv,N??c,d?r,amanzi,???????,omi,amanzi
white,wit,e bardhâ,??,????,??????,a?,Zuri-,????,????,bijel,???,blanc,puti nga,woyera,??,??,biancu,bijela,b°l?,hvid,wit,blanka,valge,puti,valkoinen,blanc,Wyt,Blanco,?????,Wei·,?Â„??,????,blan,fari,ke?oke?o,???,????,dawb,fehÇr,Hv°tur,?cha,putih,b†n,bianca,?,putih,????,??,?,cyera,??,spå,??,?????,alba,balts,baltas,wÑiss,????,fotsy,putih,???????,abjad,ma,??????,??????,????,????,hvit,???,????,????,bia?y,branco,?????,alb,?????,lanu pa?epa?e,geal,???,t?oeu,chena,???,????,biely,bela,white,blanco,bodas,nyeupe,vit,?????,??????,?????,??????,???,beyaz,ak,?????,????,???,oq rang,tr?ng,gwyn,mhlophe,??????,funfun,emhlophe
wife,vrou,grua,???,????,???,arvad,emaztea,?????,??????,supruga,???????,dona,asawa,mkazi,??,??,moglia,?ena,man?elka,kone,vrouw,edzino,naine,asawa,vaimo,femme,frou,esposa,????,Ehefrau,???‡??‡,?????,madanm,matar,wahine,????,?????,tus poj niam,felesÇg,Kona,nwunye,istri,bean chÇile,moglie,?,bojo,?????,????,???????,umugore,??,jin,????,???????,uxorem,sieva,?mona,Fra,????,vady,isteri,?????,mara,wahine,?????,?????,????,?????,kone,?????,???,??,?ona,esposa,????,so?ie,????,ava,bean,????,mosali oa,mukadzi,???,?????,?ena,?ena,xaaskiisa,esposa,pamajikan,mke,fru,???,?????,??????,?????,?????,kad?n e?,a?aly,???????,????,??????,rafiqa,ng??i v?,gwraig,umfazi,????,iyawo,unkosikazi
wolf,wolf,ujk,???,?????,????,canavar,otso,????,??????,vuk,????,llop,lobo,nkhandwe,?,?,lupu,vuk,vlk,ulv,wolf,lupo,hunt,lobo,susi,Loup,wolf,lobo,wolf,Wolf,?????,???,bät nan bwa,kerk?ci,??lio hihiu,?????,???????,hma,farkas,?lfur,wolf,serigala,mac t°re,lupo,?,wolf,?????,??????,???,impyisi,??,gur,????????,wolf,lupus,vilks,vilkas,Wollef,????,amboadia,serigala,???????,lupu,wuruhi,??????,????,???????,???????,ulv,????,????,???,Wilk,Lobo,?????,lup,????,luko,madadh-allaidh,???,phiri,mhumhi,????,?????,vlk,volk,Yeeyi,lobo,ajag,mbwa Mwitu,Varg,????,?????,????,??????,??????,kurt,mîjek,????,??????,????,bo'ri,ch¢ s¢i,Blaidd,Ingcuka,??????,Ikooko,impisi
